NUM_EP,SCORE,STEP_EP,STEP_GLO,AVG_MAX_Q,AVG_LOSS,LEARING_TIME
75,63,64,2442,-4.68659727298655,65.6190966442227,1.44 secs
76,63,64,2506,-4.96176839945838,57.2034761868417,1.43 secs
77,77,78,2584,-5.83704245186005,60.1108777492474,1.79 secs
78,109,110,2694,-19.2319753226824,62.574646934596,2.64 secs
79,125,126,2820,-12.8576391807624,54.1908923926808,3.15 secs
80,99,100,2920,-23.0180179822445,48.3051249289513,7.67 secs
81,278,279,3199,-6.73718524547995,35.9487680354853,6.45 secs
82,236,237,3436,-11.1239259880948,27.9642659096275,5.28 secs
83,211,212,3648,-11.7376565357565,19.7973393133648,4.82 secs
84,178,179,3827,-9.98369205580743,17.9992033158268,4.14 secs
85,181,182,4009,-11.7722290739581,16.1411076622022,4.24 secs
86,171,172,4181,-10.4725789138398,10.139106365917,3.96 secs
87,169,170,4351,-8.85262582626413,14.7564137937392,4.02 secs
88,185,186,4537,-8.52779642729119,8.6206678673625,4.27 secs
89,169,170,4707,-10.7677681064781,5.63631843249588,3.73 secs
90,168,169,4876,-8.16027649231916,4.33937429923278,3.75 secs
91,155,156,5032,-8.44260987333762,6.78040205090283,3.49 secs
92,149,150,5182,-10.8387436381976,6.30090957994262,3.59 secs
93,167,168,5350,-9.43218427335489,6.64032966794357,4.25 secs
94,160,161,5511,-9.25728988962144,7.27166084760094,4.09 secs
95,154,155,5666,-6.57471404037168,6.95988864499715,4.01 secs
96,190,191,5857,-5.94654136646481,6.3183673483695,4.99 secs
97,215,216,6073,-5.49969806190994,7.08288382821613,4.99 secs
98,193,194,6267,-4.90112018692739,6.29135912499323,4.83 secs
99,194,195,6462,-11.5743572295476,5.2674806869756,4.71 secs
100,193,194,6656,-8.62819237991707,5.255488274715,15.87 secs
101,212,213,6869,-8.08154773481295,5.42609539589552,5.14 secs
102,196,197,7066,-13.1032368206433,4.36104556430264,5 secs
103,255,256,7322,-12.636242446024,5.27763082375168,6.61 secs
104,246,247,7569,-10.8134399165026,5.13557767607121,6.72 secs
105,275,276,7845,-4.70833616833324,5.01974633449446,6.77 secs
106,376,377,8222,-15.7344031669101,4.30483159194614,9.11 secs
107,272,273,8495,-3.33125937528117,3.94839790014502,6.57 secs
108,440,441,8936,-11.3052451249018,3.63981600136173,10.28 secs
109,240,241,9177,-3.30845537361268,3.74012247454452,5.64 secs
110,358,359,9536,-0.400275293789534,3.94907127459816,8.15 secs
111,336,337,9873,2.55292586734634,4.44592407266181,7.72 secs
112,337,338,10211,-1.18531399506789,5.04343074793823,7.57 secs
113,403,404,10615,6.92690361180518,4.87772698947551,9.01 secs
114,387,388,11003,6.83261973318673,4.00133403304235,8.91 secs
115,345,346,11349,5.93786378385704,3.59736896403715,8.41 secs
116,354,355,11704,12.3011108891225,4.3443104034211,8.6 secs
117,429,430,12134,15.0219126465016,3.65288106223438,10.06 secs
118,500,500,12634,22.6136897057891,3.58264179613069,11.8 secs
119,488,489,13123,21.0853672007476,2.77439891739705,12 secs
120,500,500,13623,39.8780096130371,2.32054039608687,36.58 secs
121,483,484,14107,20.9723128329747,1.86246313256104,11.25 secs
