NUM_EP,SCORE,STEP_EP,STEP_GLO,AVG_MAX_Q,AVG_LOSS,LEARING_TIME
1,17,18,18,0,0,0.02 secs
2,18,19,37,0,0,0.02 secs
3,18,19,56,0,0,0.03 secs
4,26,27,83,0,0,0.04 secs
5,13,14,97,0,0,0.02 secs
6,23,24,121,0,0,0.03 secs
7,9,10,131,0,0,0.02 secs
8,25,26,157,0,0,0.04 secs
9,17,18,175,0,0,0.04 secs
10,67,68,243,0,0,0.09 secs
11,22,23,266,0,0,0.03 secs
12,19,20,286,0,0,0.05 secs
13,35,36,322,0,0,0.06 secs
14,29,30,352,0,0,0.04 secs
15,43,44,396,0,0,0.07 secs
16,24,25,421,0,0,0.04 secs
17,16,17,438,0,0,0.03 secs
18,14,15,453,0,0,0.02 secs
19,7,8,461,0,0,0.01 secs
20,16,17,478,0,0,0.73 secs
21,12,13,491,0,0,0.02 secs
22,44,45,536,0,0,0.06 secs
23,34,35,571,0,0,0.05 secs
24,15,16,587,0,0,0.02 secs
25,28,29,616,0,0,0.05 secs
26,27,28,644,0,0,0.07 secs
27,18,19,663,0,0,0.04 secs
28,16,17,680,0,0,0.05 secs
29,8,9,689,0,0,0.01 secs
30,8,9,698,0,0,0.02 secs
31,13,14,712,0,0,0.02 secs
32,19,20,732,0,0,0.05 secs
33,27,28,760,0,0,0.05 secs
34,12,13,773,0,0,0.02 secs
35,30,31,804,0,0,0.06 secs
36,21,22,826,0,0,0.03 secs
37,7,8,834,0,0,0.02 secs
38,11,12,846,0,0,0.02 secs
39,14,15,861,0,0,0.03 secs
40,15,16,877,0,0,0.72 secs
41,31,32,909,0,0,0.05 secs
42,11,12,921,0,0,0.02 secs
43,15,16,937,0,0,0.02 secs
44,14,15,952,0,0,0.02 secs
45,24,25,977,0,0,0.03 secs
46,26,27,1004,0.0962501797411177,42.4221468325015,0.95 secs
47,18,19,1023,-0.0700574508243191,228.703996808905,0.4 secs
48,28,29,1052,-0.601485261886284,209.34367624028,0.66 secs
49,10,11,1063,-1.16031670570374,226.237867918882,0.21 secs
50,17,18,1081,-0.640146120554871,220.395861181948,0.36 secs
51,15,16,1097,-0.982292203232646,239.459836222231,0.3 secs
52,40,41,1138,-1.10525948099974,221.887597020806,0.81 secs
53,9,10,1148,-4.09555253386498,190.726628243923,0.2 secs
54,28,29,1177,-2.45124380958491,203.800377872484,0.56 secs
55,53,54,1231,-5.77554955747393,198.49752171172,1.07 secs
56,13,14,1245,-3.17378803661891,162.466102932181,0.26 secs
57,11,12,1257,-11.5801714162032,205.833181252082,0.24 secs
58,16,17,1274,-9.75077867507935,185.697928547859,0.36 secs
59,157,158,1432,-5.48500722005398,153.963268524484,3.16 secs
60,29,30,1462,-6.1869494398435,149.844512550036,2.03 secs
61,31,32,1494,-7.41588342934847,117.129811283201,0.71 secs
62,60,61,1555,-6.26801321936435,112.533011475547,1.43 secs
63,45,46,1601,-6.44377692886021,111.799715695174,1.02 secs
64,29,30,1631,-6.94805445671082,108.407015188535,0.64 secs
65,66,67,1698,-5.94612763532952,111.677523677029,1.47 secs
66,17,18,1716,-16.4070674578349,95.0686957703696,0.37 secs
67,125,126,1842,-6.05570146015712,85.371265492742,2.57 secs
68,53,54,1896,-6.38976233535343,104.912584644777,1.12 secs
69,75,76,1972,-7.46716252126192,87.351576814526,1.57 secs
70,87,88,2060,-7.34346437996084,78.9394038360227,1.88 secs
71,136,137,2197,-14.7592318110222,72.2776679374876,3.01 secs
72,58,59,2256,-4.53662428512412,63.7090293512506,1.3 secs
73,59,60,2316,-6.48355890835325,74.0572174489498,1.34 secs
74,61,62,2378,-5.39118138790852,72.000731437437,1.41 secs
